epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,18857.9,0.62638,2.76595,0.23889,0.39129,1.07343,0.97414,0.97935,0.99136,0.90762,0.86291,0.84645,0.86131,0.72781,0.52261,1.79897,0.04456,0.25694,0.95857,0.004258,0.004258,0.004258
60,19175.5,0.62841,2.72276,0.23783,0.38726,1.07606,0.97389,0.97938,0.99136,0.90788,0.86538,0.84746,0.86381,0.7284,0.5224,1.7942,0.04441,0.25642,0.95836,0.004159,0.004159,0.004159
61,19492.6,0.62039,2.68987,0.23571,0.38272,1.06896,0.97389,0.97949,0.99138,0.90841,0.86641,0.84811,0.86444,0.72928,0.52193,1.7902,0.04426,0.25601,0.958,0.00406,0.00406,0.00406
62,19864.1,0.62769,2.72729,0.23429,0.38579,1.07289,0.9736,0.97964,0.99141,0.90891,0.86885,0.84764,0.8656,0.73082,0.52145,1.78335,0.04403,0.25546,0.95759,0.003961,0.003961,0.003961
63,20233.4,0.62228,2.6783,0.23458,0.37994,1.0709,0.9739,0.97964,0.99141,0.90958,0.86963,0.8458,0.86573,0.73216,0.5207,1.77797,0.04382,0.25507,0.95704,0.003862,0.003862,0.003862
64,20550.8,0.6194,2.67705,0.23386,0.3848,1.06905,0.9744,0.97994,0.99146,0.90974,0.86744,0.84798,0.86581,0.7328,0.5204,1.77506,0.04359,0.25446,0.95684,0.003763,0.003763,0.003763
65,20869.3,0.61802,2.67509,0.23264,0.37963,1.06841,0.97453,0.97976,0.99145,0.90953,0.86662,0.84792,0.86444,0.7328,0.52004,1.77265,0.04342,0.25396,0.95661,0.003664,0.003664,0.003664
66,21187,0.61752,2.66072,0.23231,0.37958,1.07077,0.9746,0.98002,0.99147,0.91001,0.86708,0.8481,0.86487,0.73325,0.51932,1.77009,0.04322,0.25351,0.95615,0.003565,0.003565,0.003565
67,21504.9,0.61242,2.63106,0.23121,0.37465,1.06577,0.97477,0.97971,0.9915,0.91043,0.86731,0.8481,0.86513,0.7342,0.51871,1.76705,0.04312,0.2528,0.95574,0.003466,0.003466,0.003466
68,21822.5,0.60832,2.60287,0.22995,0.37365,1.06181,0.97539,0.97962,0.9915,0.91055,0.86757,0.84836,0.8656,0.7346,0.51823,1.76362,0.04292,0.25238,0.95536,0.003367,0.003367,0.003367
